方法   pt:6576.291440427422    sum:31635
捕风捉影   pt:0    sum:6
村容村貌   pt:0    sum:2
新气象   pt:0    sum:3
怒容   pt:0    sum:3
恭顺   pt:0    sum:11
雄姿   pt:0    sum:3
婀娜多姿   pt:0    sum:3
方步   pt:0    sum:3
装束   pt:0    sum:2
艳妆   pt:0    sum:3
言谈   pt:0    sum:2
眼色   pt:0    sum:1
喜色   pt:0    sum:2
愁容   pt:0    sum:5
凶相   pt:0    sum:3
惧色   pt:0.0    sum:4
醉意   pt:0    sum:2
美色   pt:0.0    sum:5
侠骨   pt:0    sum:2
骨气   pt:0    sum:1
骄气   pt:0.0    sum:4
书卷气   pt:0    sum:2
趋光性   pt:0    sum:2
准确性   pt:0.0    sum:125
可能性   pt:0.0    sum:679
音质   pt:0    sum:3
生产经营性   pt:0    sum:3
紧缩性   pt:0    sum:3
预见性   pt:0.0    sum:26
广泛性   pt:0    sum:2
背日性   pt:0    sum:2
流动性   pt:0.0    sum:66
紧迫性   pt:0.0    sum:10
趋向性   pt:0    sum:2
条理性   pt:0.0    sum:4
礼节性   pt:0.0    sum:26
鼓动性   pt:0    sum:2
自营性   pt:0.0    sum:12
永久性   pt:0.0    sum:10
各有所长   pt:0    sum:2
旧病   pt:0    sum:2
现成饭   pt:0    sum:4
微利   pt:0    sum:4
功名利禄   pt:0    sum:2
积弊   pt:0    sum:3
切身利益   pt:0    sum:2
音量   pt:0.0    sum:12
天壤之别   pt:0    sum:3
存小异   pt:0    sum:2
势力范围   pt:0.0    sum:30
省里   pt:0    sum:2
火力网   pt:0    sum:2
世风   pt:0.0    sum:2800
一方面   pt:0.0    sum:10
文学界   pt:0    sum:3
文艺界   pt:0    sum:5
诗坛   pt:0    sum:2
借方   pt:0    sum:2
戏曲界   pt:0    sum:2
贷方   pt:0    sum:4
着力点   pt:0    sum:2
前端   pt:0.0    sum:19
负面   pt:0    sum:2
商业界   pt:0.0    sum:8
汽车界   pt:0    sum:2
各界   pt:0    sum:1
七十二行   pt:0    sum:7
工商界   pt:0    sum:2
社科界   pt:0    sum:2
环节   pt:0.0    sum:261
分系统   pt:0.0    sum:6
合作网   pt:0    sum:2
观测网   pt:0    sum:2
管网   pt:0    sum:2
物种   pt:0.0    sum:173
此类   pt:0    sum:2
雌雄同体   pt:0    sum:2
雌雄异体   pt:0    sum:2
低高型   pt:0    sum:2
研究型   pt:0    sum:2
班子   pt:0    sum:1
梯队   pt:0    sum:2
词序   pt:0.0    sum:12
席次   pt:0    sum:4
层次   pt:0.0    sum:370
头一回   pt:0    sum:2
本次   pt:0    sum:2
白班   pt:0    sum:2
班   pt:0.0    sum:242
工薪层   pt:0.0    sum:4
枢要   pt:0    sum:2
地心   pt:0.0    sum:4
水分   pt:0.0    sum:71
规矩   pt:0.0    sum:4
虽然   pt:0    sum:5
楷书   pt:0.0    sum:11
垂范   pt:0    sum:1
高质   pt:0    sum:2
只限   pt:0    sum:1
极致   pt:0    sum:1
阴极   pt:0    sum:2
正极   pt:0    sum:2
分量   pt:0    sum:1
牛脾气   pt:0    sum:5
体力   pt:0.0    sum:87
脚力   pt:0    sum:2
人力   pt:0.0    sum:182
人造   pt:0.0    sum:96
鼎立   pt:0    sum:2
大力   pt:0    sum:1
绵薄   pt:0.0    sum:6
财力   pt:0.0    sum:10
兵力   pt:0    sum:2
反冲力   pt:0    sum:4
附着力   pt:0    sum:2
万有引力   pt:0.0    sum:16
引力   pt:0.0    sum:188
旁压力   pt:0.0    sum:911
内聚力   pt:0    sum:2
蓬勃生机   pt:0    sum:2
运力   pt:0    sum:3
能量   pt:0.0    sum:355
势能   pt:0    sum:2
核子能   pt:0.0    sum:8
遂   pt:0.0    sum:991
别称   pt:0    sum:2
标题   pt:0.0    sum:332
副标题   pt:0    sum:2
复姓   pt:0    sum:2
贵姓   pt:0    sum:2
名字   pt:0.0    sum:871
表字   pt:0    sum:1
小名   pt:0    sum:3
字母   pt:0.0    sum:187
别名   pt:0.0    sum:5
别字   pt:0    sum:2
客姓   pt:0    sum:3
生肖   pt:0    sum:5
性别   pt:0.0    sum:391
川籍   pt:0    sum:2
平辈   pt:0.0    sum:6
老脾气   pt:0    sum:2
高风亮节   pt:0    sum:2
铺张   pt:0    sum:2
平均主义   pt:0.0    sum:11
伦常   pt:0.0    sum:79
孝道   pt:0    sum:2
节操   pt:0.0    sum:6
贞操   pt:0    sum:2
量   pt:0.0    sum:651
海量   pt:0.0    sum:137
才智   pt:0    sum:7
才能   pt:0    sum:5
治理   pt:0.0    sum:6
辞章   pt:0    sum:2
口才   pt:0.0    sum:4
文才   pt:0    sum:4
锦心绣口   pt:0    sum:6
武艺   pt:0.0    sum:31
看家戏   pt:0    sum:3
舞技   pt:0    sum:2
球技   pt:0    sum:3
高技术   pt:0.0    sum:4
战技术   pt:0.0    sum:50
思想   pt:0.0    sum:643
精神   pt:0    sum:2
心思   pt:0    sum:5
脑海   pt:0.0    sum:92
上进心   pt:0    sum:2
警惕性   pt:0    sum:3
忌妒心   pt:0    sum:3
心意   pt:0    sum:2
恻隐之心   pt:0    sum:2
自私   pt:0.0    sum:42
邪心   pt:0    sum:5
外心   pt:0    sum:4
常情   pt:0    sum:2
谢意   pt:0    sum:2
歉意   pt:0.0    sum:3
假意   pt:0    sum:2
豪情   pt:0.0    sum:170
亢奋   pt:0.0    sum:4
苦心   pt:0    sum:5
耐心   pt:0.0    sum:191
忧心   pt:0.0    sum:6
众怒   pt:0    sum:3
不平   pt:0.0    sum:9
怨气   pt:0.0    sum:7
幽怨   pt:0    sum:2
宿怨   pt:0.0    sum:4
要求   pt:0.0    sum:6
夙愿   pt:0    sum:8
初愿   pt:0.0    sum:127
大计   pt:0.0    sum:8
小九九   pt:0    sum:2
权术   pt:0    sum:1
巧计   pt:0    sum:6
上策   pt:0    sum:2
毒计   pt:0    sum:3
故智   pt:0    sum:2
老式   pt:0.0    sum:104
花招   pt:0    sum:1
辣手   pt:0.0    sum:12
随想   pt:0    sum:3
泡影   pt:0    sum:9
兴趣   pt:0.0    sum:1186
诗兴   pt:0    sum:2
瘾头   pt:0.0    sum:26
余韵   pt:0    sum:2
主张   pt:0.0    sum:160
坏主意   pt:0    sum:5
定见   pt:0    sum:4
浅见   pt:0    sum:6
成见   pt:0    sum:2
偏见   pt:0.0    sum:140
偏偏   pt:0.0    sum:251
疣   pt:0    sum:6
赘疣   pt:0    sum:1
残存   pt:0    sum:1
朝露   pt:0    sum:2
大杂烩   pt:0    sum:3
诱饵   pt:0.0    sum:5
远行   pt:0    sum:5
长征   pt:0    sum:1
邪路   pt:0    sum:7
后门   pt:0.0    sum:5
致富线   pt:0    sum:3
上帝   pt:0.0    sum:52
天使   pt:0.0    sum:72
基督   pt:0.0    sum:5
西王母   pt:0    sum:2
观世音   pt:0    sum:3
灶神   pt:0    sum:3
鬼   pt:0    sum:1
英魂   pt:0    sum:3
妖魔鬼怪   pt:0.0    sum:9
神怪   pt:0    sum:1
龙宫   pt:0    sum:2
阴间   pt:0    sum:6
前生   pt:0    sum:3
来世   pt:0    sum:3
龙   pt:0    sum:3
蛟龙   pt:0.0    sum:6
虬龙   pt:0    sum:2
麒麟   pt:0    sum:2
第三世界   pt:0    sum:2
凡是   pt:0    sum:5
国产   pt:0    sum:2
强国   pt:0.0    sum:32
共和国   pt:0    sum:2
主权国   pt:0    sum:4
联邦   pt:0.0    sum:100
本国   pt:0.0    sum:310
省   pt:0.0    sum:22
我省   pt:0.0    sum:5
本县   pt:0    sum:2
东洋   pt:0    sum:3
各州   pt:0    sum:2
地县   pt:0    sum:2
故都   pt:0    sum:3
灭族   pt:0.0    sum:25
蒙古族   pt:0    sum:2
哈萨克族   pt:0    sum:2
客家人   pt:0    sum:2
门巴   pt:0    sum:2
王室   pt:0    sum:1
大族   pt:0.0    sum:6
书香人家   pt:0    sum:4
舍间   pt:0.0    sum:7
娘家   pt:0.0    sum:7
婆家   pt:0    sum:1
小户   pt:0    sum:2
单门独户   pt:0    sum:2
户头   pt:0    sum:1
政党   pt:0.0    sum:12
朝政   pt:0    sum:8
共产党   pt:0    sum:4
仁政   pt:0    sum:3
暴政   pt:0    sum:3
法西斯主义   pt:0    sum:2
机会主义   pt:0    sum:2
帝制   pt:0    sum:2
议会制   pt:0    sum:3
专政   pt:0    sum:1
制度   pt:0.0    sum:407
国际公制   pt:0    sum:4
市制   pt:0    sum:3
征兵制   pt:0    sum:3
募兵制   pt:0    sum:2
个体所有制   pt:0    sum:4
非公有   pt:0    sum:2
三资   pt:0    sum:2
国有   pt:0    sum:1
教研室   pt:0    sum:2
工段   pt:0    sum:1
核查组   pt:0.0    sum:11
维修班   pt:0    sum:3
专修班   pt:0    sum:3
春蕾班   pt:0    sum:2
研讨班   pt:0    sum:4
支部   pt:0    sum:2
关系部   pt:0    sum:2
红十字   pt:0    sum:2
本社   pt:0    sum:2
支使   pt:0    sum:2
支派   pt:0    sum:1
庶   pt:0    sum:2
左派   pt:0.0    sum:5
子弟兵   pt:0    sum:3
志愿军   pt:0    sum:4
义师   pt:0    sum:4
卫队   pt:0    sum:11
两翼   pt:0    sum:2
援军   pt:0.0    sum:5
激战   pt:0    sum:8
殊死战   pt:0    sum:3
堑壕战   pt:0    sum:2
闪电战   pt:0    sum:2
破击战   pt:0    sum:2
初战   pt:0    sum:3
内战   pt:0    sum:1
宗教   pt:0.0    sum:40
佛教   pt:0    sum:4
天理教   pt:0    sum:2
基督教   pt:0    sum:3
天主教   pt:0    sum:2
东正教   pt:0    sum:2
伊斯兰教   pt:0    sum:5
婆罗门教   pt:0    sum:2
洗礼   pt:0.0    sum:11
繁文缛节   pt:0    sum:2
礼节   pt:0    sum:3
虚礼   pt:0    sum:2
沉疴   pt:0    sum:4
时尚   pt:0.0    sum:177
家风   pt:0    sum:2
妖风   pt:0    sum:5
职守   pt:0    sum:1
设计家   pt:0.0    sum:94
爵位   pt:0    sum:2
伯爵   pt:0    sum:1
子爵   pt:0    sum:1
男爵   pt:0    sum:1
事业   pt:0.0    sum:397
工程   pt:0.0    sum:740
土木工程   pt:0    sum:2
勤务   pt:0    sum:1
野外工作   pt:0    sum:2
手工   pt:0.0    sum:66
农活   pt:0    sum:4
务农   pt:0.0    sum:9
阴德   pt:0    sum:2
恶行   pt:0    sum:2
军权   pt:0    sum:3
权利   pt:0.0    sum:217
财产权   pt:0.0    sum:39
无偿   pt:0.0    sum:116
本分   pt:0    sum:1
茶话会   pt:0    sum:2
党代会   pt:0    sum:2
代表大会   pt:0    sum:2
宴会   pt:0.0    sum:14
喜筵   pt:0    sum:5
素席   pt:0    sum:2
戒律   pt:0    sum:4
规定   pt:0    sum:2
空文   pt:0    sum:2
陋规   pt:0.0    sum:5
协定   pt:0    sum:4
盟约   pt:0    sum:2
字   pt:0.0    sum:530
法制   pt:0.0    sum:18
此法   pt:0    sum:2
禁   pt:0    sum:2
刑罚   pt:0.0    sum:6
从刑   pt:0    sum:2
上刑   pt:0    sum:5
死刑   pt:0.0    sum:19
凌迟   pt:0    sum:2
不变价格   pt:0    sum:3
产业   pt:0    sum:1
财产   pt:0.0    sum:127
动产   pt:0    sum:2
不动产   pt:0    sum:2
私房钱   pt:0    sum:1
洋财   pt:0    sum:3
邪财   pt:0    sum:3
民脂民膏   pt:0.0    sum:10
股份   pt:0.0    sum:46
财政资本   pt:0    sum:3
垄断资本   pt:0    sum:2
纯利   pt:0    sum:2
股息   pt:0    sum:2
利息   pt:0.0    sum:61
年利   pt:0    sum:3
月利   pt:0    sum:3
高利   pt:0    sum:2
宿债   pt:0    sum:2
呆坏账   pt:0    sum:2
辅币   pt:0    sum:3
角票   pt:0    sum:2
铜元   pt:0.0    sum:9
大钱   pt:0.0    sum:29
便条   pt:0    sum:3
汇票   pt:0    sum:3
印花税票   pt:0    sum:2
印染   pt:0    sum:2
邮票   pt:0.0    sum:5
联运票   pt:0    sum:2
有价证券   pt:0.0    sum:36
奖券   pt:0.0    sum:17
公债券   pt:0.0    sum:11
田赋   pt:0    sum:2
苛捐杂税   pt:0    sum:2
租金   pt:0    sum:2
工钱   pt:0    sum:2
军饷   pt:0    sum:3
俸禄   pt:0    sum:2
报酬   pt:0.0    sum:38
润笔   pt:0    sum:2
佣金   pt:0    sum:3
日记帐   pt:0    sum:2
明细帐   pt:0    sum:4
头寸   pt:0    sum:2
公款   pt:0    sum:2
现款   pt:0.0    sum:144
收支   pt:0.0    sum:13
盈余   pt:0    sum:4
损耗   pt:0    sum:1
损益   pt:0.0    sum:10
公积金   pt:0    sum:2
外快   pt:0    sum:2
保证金   pt:0    sum:3
赔偿金   pt:0    sum:4
补助金   pt:0.0    sum:4
成本费   pt:0    sum:2
修理费   pt:0    sum:2
通话费   pt:0.0    sum:5
代理费   pt:0    sum:2
教育事业费   pt:0    sum:2
伙食费   pt:0.0    sum:6
学费   pt:0.0    sum:17
邮费   pt:0.0    sum:6
路费   pt:0    sum:6
车钱   pt:0    sum:4
运输费   pt:0.0    sum:4
小费   pt:0    sum:4
赏钱   pt:0    sum:2
抚恤金   pt:0    sum:4
文化   pt:0    sum:1
仰韶文化   pt:0    sum:2
电化教育   pt:0    sum:2
兴学   pt:0    sum:2
马克思列宁主义   pt:0    sum:2
唯物主义   pt:0    sum:3
历史唯物主义   pt:0    sum:2
唯心主义   pt:0    sum:3
形而上学   pt:0.0    sum:8
达尔文主义   pt:0.0    sum:4
社会科学   pt:0    sum:2
逻辑学   pt:0    sum:2
音韵学   pt:0    sum:2
语法学   pt:0    sum:2
医学   pt:0.0    sum:279
中医药学   pt:0    sum:3
语文课   pt:0    sum:2
数学课   pt:0    sum:2
理化   pt:0    sum:2
外语课   pt:0    sum:2
体育课   pt:0    sum:2
小儿科   pt:0.0    sum:7
牙科   pt:0    sum:2
课外作业   pt:0    sum:2
夯歌   pt:0    sum:2
邮政编码   pt:0    sum:2
条形码   pt:0.0    sum:5
花押   pt:0    sum:1
押送   pt:0    sum:6
标点符号   pt:0    sum:1
逗号   pt:0    sum:2
句号   pt:0.0    sum:16
顿号   pt:0    sum:1
感叹号   pt:0    sum:2
删节号   pt:0    sum:2
汉字   pt:0    sum:3
俗字   pt:0    sum:2
古文字   pt:0    sum:2
文言文   pt:0    sum:3
简体字   pt:0.0    sum:16
数目字   pt:0.0    sum:1178
金文   pt:0    sum:2
大篆   pt:0    sum:3
小篆   pt:0    sum:2
隶书   pt:0    sum:4
朱文   pt:0    sum:2
本文   pt:0    sum:3
白文   pt:0    sum:1
盲文   pt:0    sum:2
竖   pt:0.0    sum:4
简直   pt:0.0    sum:45
直接   pt:0.0    sum:23
支解   pt:0    sum:1
偏旁   pt:0    sum:1
书体   pt:0.0    sum:35
宋体字   pt:0    sum:3
仿宋体   pt:0    sum:2
草书   pt:0.0    sum:6
小楷   pt:0    sum:2
大楷   pt:0.0    sum:15
单纯词   pt:0.0    sum:327
词语   pt:0.0    sum:102
褒义词   pt:0    sum:2
贬义词   pt:0    sum:2
冗词   pt:0    sum:1
赘言   pt:0    sum:1
谚语   pt:0.0    sum:4
语助词   pt:0    sum:2
佳句   pt:0    sum:3
绝句   pt:0    sum:1
语言   pt:0.0    sum:1699
汉语   pt:0    sum:5
空话   pt:0    sum:5
门面话   pt:0    sum:3
文艺语言   pt:0    sum:2
文学语言   pt:0    sum:1
令   pt:0    sum:2
现成话   pt:0    sum:3
老调   pt:0    sum:3
球路   pt:0    sum:2
音律   pt:0    sum:2
书目   pt:0    sum:2
细目   pt:0    sum:2
节目   pt:0.0    sum:506
字里行间   pt:0    sum:2
诗情画意   pt:0.0    sum:8
摘记   pt:0.0    sum:216
摘要   pt:0    sum:2
谈吐   pt:0    sum:2
谈锋   pt:0    sum:1
片言   pt:0    sum:4
至理名言   pt:0    sum:2
豪语   pt:0    sum:2
空谈   pt:0.0    sum:9
侈谈   pt:0    sum:4
知心话   pt:0    sum:4
常言   pt:0    sum:1
家常话   pt:0    sum:1
家乡话   pt:0    sum:2
口头禅   pt:0.0    sum:16
诺言   pt:0    sum:3
誓词   pt:0.0    sum:8
咒语   pt:0    sum:3
口诀   pt:0    sum:2
训词   pt:0    sum:1
指令   pt:0.0    sum:91
耳边风   pt:0    sum:2
婉言   pt:0    sum:2
赞语   pt:0    sum:2
讲情   pt:0    sum:7
谗言   pt:0    sum:1
高帽子   pt:0    sum:2
甜言蜜语   pt:0    sum:3
鼓舌   pt:0.0    sum:8
怨言   pt:0    sum:4
怪话   pt:0    sum:4
说闲话   pt:0    sum:2
冷言冷语   pt:0    sum:3
流言   pt:0    sum:3
絮语   pt:0    sum:1
说白   pt:0    sum:3
引子   pt:0.0    sum:3
复信   pt:0.0    sum:8
梦话   pt:0    sum:3
急口令   pt:0    sum:3
即兴诗   pt:0.0    sum:110
口号   pt:0.0    sum:29
切口   pt:0    sum:4
口供   pt:0    sum:1
供状   pt:0    sum:3
寡言少语   pt:0    sum:3
一番话   pt:0    sum:2
此言   pt:0    sum:2
言论   pt:0.0    sum:125
念经   pt:0    sum:4
讲经说法   pt:0    sum:1
舆论   pt:0.0    sum:11
公议   pt:0    sum:2
众说   pt:0    sum:2
街谈巷议   pt:0    sum:4
定案   pt:0    sum:2
命令   pt:0    sum:1
勒令   pt:0    sum:3
军令   pt:0    sum:2
晓谕   pt:0    sum:5
檄文   pt:0    sum:3
字帖   pt:0    sum:2
喜报   pt:0    sum:2
光荣榜   pt:0    sum:2
讣告   pt:0    sum:2
奏章   pt:0    sum:2
回条   pt:0.0    sum:7
病假条   pt:0    sum:2
配药   pt:0.0    sum:16
成方   pt:0    sum:2
说明书   pt:0.0    sum:23
家信   pt:0    sum:3
来信   pt:0    sum:2
贺信   pt:0    sum:2
黑信   pt:0    sum:2
公函   pt:0    sum:2
信件   pt:0    sum:3
检举信   pt:0.0    sum:5
感谢信   pt:0    sum:3
邀请函   pt:0    sum:3
投诉信   pt:0    sum:4
电报   pt:0.0    sum:3
传真电报   pt:0    sum:1
加急电报   pt:0    sum:2
卷宗   pt:0    sum:1
判决书   pt:0.0    sum:4
悔过书   pt:0    sum:2
诉状   pt:0    sum:3
遗嘱   pt:0    sum:1
遗著   pt:0    sum:7
修改案   pt:0.0    sum:9
抄件   pt:0.0    sum:9
地图   pt:0.0    sum:291
正视图   pt:0    sum:3
侧视图   pt:0    sum:2
顶视图   pt:0    sum:2
视力表   pt:0    sum:2
正误表   pt:0    sum:2
坐位表   pt:0    sum:2
课程表   pt:0    sum:2
作品   pt:0.0    sum:1136
巨著   pt:0    sum:3
处女作   pt:0    sum:2
拙作   pt:0    sum:3
急就章   pt:0    sum:2
断编残简   pt:0    sum:3
社论   pt:0    sum:2
八股文   pt:0    sum:4
札记   pt:0    sum:1
祭文   pt:0    sum:7
碑文   pt:0    sum:3
墓志   pt:0    sum:3
行状   pt:0    sum:2
白话文   pt:0    sum:2
应用文   pt:0    sum:2
记叙文   pt:0    sum:3
说明文   pt:0    sum:2
骈文   pt:0    sum:3
下卷   pt:0    sum:2
经书   pt:0    sum:6
四库   pt:0    sum:3
历书   pt:0    sum:5
古书   pt:0    sum:3
经文   pt:0.0    sum:612
方志   pt:0    sum:2
集子   pt:0    sum:1
画帖   pt:0    sum:2
连环画   pt:0    sum:5
书背   pt:0    sum:2
珍本   pt:0.0    sum:14
页张   pt:0.0    sum:42
墙报   pt:0    sum:2
周刊   pt:0.0    sum:72
报刊   pt:0    sum:2
书刊   pt:0    sum:2
引言   pt:0    sum:2
跋   pt:0    sum:4
序跋   pt:0    sum:2
按语   pt:0    sum:4
批语   pt:0    sum:2
眉批   pt:0    sum:2
引文   pt:0    sum:2
注解   pt:0.0    sum:7
凡例   pt:0    sum:2
经典   pt:0    sum:1
佛经   pt:0.0    sum:16
旧约   pt:0    sum:2
新文学   pt:0    sum:2
口头文学   pt:0    sum:3
小品   pt:0.0    sum:26
漫笔   pt:0    sum:2
传记   pt:0.0    sum:16
图说   pt:0    sum:2
访问记   pt:0    sum:2
古体诗   pt:0    sum:3
史诗   pt:0.0    sum:26
律诗   pt:0    sum:1
旧诗   pt:0    sum:2
新诗   pt:0    sum:2
儿歌   pt:0    sum:2
赞美诗   pt:0    sum:4
赋   pt:0    sum:1
对联   pt:0.0    sum:10
门联   pt:0    sum:2
对子   pt:0    sum:1
春联   pt:0.0    sum:10
音乐   pt:0.0    sum:433
下里巴人   pt:0    sum:2
交响乐   pt:0    sum:2
歌   pt:0.0    sum:117
情歌   pt:0    sum:2
哀歌   pt:0    sum:1
悲歌   pt:0    sum:2
船歌   pt:0    sum:2
催眠曲   pt:0    sum:2
戏剧   pt:0.0    sum:51
戏曲   pt:0    sum:1
歌剧   pt:0    sum:3
话剧   pt:0.0    sum:8
昆剧   pt:0    sum:1
昆腔   pt:0    sum:2
婺剧   pt:0    sum:2
越剧   pt:0    sum:2
粤剧   pt:0    sum:2
豫剧   pt:0    sum:2
秦腔   pt:0    sum:2
晋剧   pt:0    sum:2
闽剧   pt:0    sum:2
评剧   pt:0    sum:1
沪剧   pt:0    sum:2
淮剧   pt:0    sum:2
闹剧   pt:0.0    sum:10
武戏   pt:0    sum:2
木偶戏   pt:0    sum:3
皮影戏   pt:0    sum:2
唱段   pt:0    sum:2
二黄   pt:0    sum:2
芭蕾舞   pt:0    sum:2
龙舞   pt:0    sum:2
跑旱船   pt:0    sum:3
太平鼓   pt:0    sum:2
无声片   pt:0    sum:2
音像   pt:0    sum:2
广角镜头   pt:0    sum:3
大鼓   pt:0    sum:2
铁板大鼓   pt:0    sum:2
道情   pt:0    sum:2
说书   pt:0    sum:3
评弹   pt:0    sum:2
滑稽戏   pt:0    sum:3
河南坠子   pt:0    sum:2
魔术   pt:0.0    sum:24
柔道   pt:0    sum:2
国画   pt:0    sum:2
西洋画   pt:0    sum:2
宣传画   pt:0    sum:2
屏条   pt:0    sum:1
木刻   pt:0    sum:2
塑像   pt:0    sum:4
佛像   pt:0    sum:1
例如   pt:0    sum:6
小照   pt:0    sum:2
遗照   pt:0    sum:4
急症   pt:0    sum:3
险症   pt:0.0    sum:17
绝症   pt:0.0    sum:4
并发症   pt:0    sum:2
内伤   pt:0    sum:2
炎症   pt:0    sum:1
结核病   pt:0    sum:4
性病   pt:0    sum:2
贫血   pt:0    sum:3
肺结核   pt:0    sum:3
尘肺   pt:0    sum:2
胸膜炎   pt:0    sum:2
肝硬变   pt:0    sum:2
疟疾   pt:0    sum:7
伤寒   pt:0    sum:2
霍乱   pt:0    sum:3
痢疾   pt:0    sum:2
变形虫痢疾   pt:0    sum:3
流行性感冒   pt:0.0    sum:8
对眼   pt:0    sum:1
青光眼   pt:0    sum:1
白内障   pt:0    sum:2
斑秃   pt:0    sum:2
麻风   pt:0    sum:3
头癣   pt:0    sum:5
荨麻疹   pt:0    sum:2
湿疹   pt:0    sum:2
白癜风   pt:0    sum:2
癔病   pt:0    sum:1
脑炎   pt:0    sum:3
癫痫   pt:0    sum:4
产褥热   pt:0    sum:2
阑尾炎   pt:0    sum:2
流行性腮腺炎   pt:0    sum:2
丝虫病   pt:0    sum:3
鼠疮   pt:0    sum:2
高山病   pt:0    sum:2
疝气   pt:0    sum:2
呆小症   pt:0    sum:2
走马疳   pt:0    sum:2
不孕   pt:0    sum:3
失眠病   pt:0    sum:2
艾滋病   pt:0    sum:2
风湿   pt:0    sum:2
甲亢   pt:0    sum:2
妇科病   pt:0    sum:2
牛瘟   pt:0    sum:2
黑穗病   pt:0    sum:2
黄锈病   pt:0    sum:3
锈病   pt:0    sum:1
生锈   pt:0    sum:2
疔   pt:0    sum:3
带伤   pt:0    sum:2
癣   pt:0    sum:2
手癣   pt:0    sum:2
脚癣   pt:0    sum:2
疮   pt:0    sum:1
疥疮   pt:0    sum:2
痈   pt:0    sum:2
砍头痈   pt:0    sum:2
疖子   pt:0    sum:2
痂   pt:0    sum:2
痔   pt:0    sum:2
趼子   pt:0    sum:3
痣   pt:0    sum:2
癍   pt:0    sum:2
寿斑   pt:0    sum:3
粉刺   pt:0    sum:2
雀斑   pt:0.0    sum:17
看守内阁   pt:0    sum:3
行政公署   pt:0    sum:3
总领事馆   pt:0    sum:2
总政治部   pt:0    sum:2
计生委   pt:0    sum:2
国家教委   pt:0    sum:2
中央军委   pt:0    sum:2
航天局   pt:0.0    sum:5
国税局   pt:0    sum:2
林管局   pt:0    sum:2
物资局   pt:0    sum:2
邮电局   pt:0    sum:2
高法   pt:0    sum:3
检察院   pt:0.0    sum:10
法院   pt:0.0    sum:70
磨坊   pt:0    sum:3
酱园   pt:0    sum:2
四   pt:0    sum:1
中药店   pt:0.0    sum:7
西药店   pt:0    sum:2
书店   pt:0    sum:5
小吃店   pt:0    sum:2
当铺   pt:0    sum:1
裁缝店   pt:0.0    sum:6
布店   pt:0    sum:2
银行   pt:0.0    sum:461
代办点   pt:0    sum:2
照相馆   pt:0.0    sum:5
杂食店   pt:0    sum:3
快餐馆   pt:0    sum:2
工商行   pt:0    sum:2
营业厅   pt:0    sum:2
中国人民银行   pt:0    sum:3
世界银行   pt:0    sum:2
中央银行   pt:0    sum:2
非国有企业   pt:0    sum:2
私塾   pt:0.0    sum:10
义学   pt:0    sum:2
高等学校   pt:0.0    sum:2337
专科学校   pt:0    sum:2
附属中学   pt:0    sum:2
高级中学   pt:0.0    sum:339
初级中学   pt:0.0    sum:126
附属小学   pt:0    sum:2
高级小学   pt:0    sum:2
初级小学   pt:0    sum:2
幼儿园   pt:0.0    sum:55
大专学校   pt:0    sum:2
职高   pt:0    sum:2
医科院   pt:0.0    sum:41
大职校   pt:0    sum:3
产院   pt:0.0    sum:4
精神病院   pt:0    sum:2
救护所   pt:0    sum:2
疗养院   pt:0    sum:5
敬老院   pt:0    sum:5
舞场   pt:0.0    sum:8
报社   pt:0.0    sum:10
电台   pt:0.0    sum:27
联社   pt:0    sum:2
声速   pt:0    sum:2
音强   pt:0    sum:2
地震烈度   pt:0    sum:2
抗张强度   pt:0    sum:2
海拔   pt:0.0    sum:23
厚度   pt:0.0    sum:7
缩尺   pt:0    sum:2
工资分   pt:0    sum:2
声望度   pt:0.0    sum:42
温度   pt:0.0    sum:343
烧   pt:0.0    sum:70
地温   pt:0    sum:2
燃点   pt:0    sum:2
波幅   pt:0.0    sum:5
余数   pt:0    sum:2
成数   pt:0    sum:1
答数   pt:0    sum:2
和数   pt:0    sum:1
差数   pt:0    sum:1
乘积   pt:0.0    sum:24
乘方   pt:0    sum:3
偶数   pt:0.0    sum:6
分数   pt:0.0    sum:241
函数   pt:0.0    sum:456
逆函数   pt:0    sum:2
因数   pt:0.0    sum:104
等差级数   pt:0    sum:2
等比级数   pt:0    sum:2
自变数   pt:0.0    sum:14
十进对数   pt:0    sum:2
无穷大   pt:0.0    sum:11
无穷小   pt:0    sum:2
方根   pt:0    sum:1
常量   pt:0.0    sum:16
当量   pt:0    sum:3
空额   pt:0    sum:2
一   pt:0    sum:5
呢   pt:0    sum:1
叛逆   pt:0    sum:10
二   pt:0    sum:2
三   pt:0    sum:2
五   pt:0    sum:2
七   pt:0    sum:2
八   pt:0    sum:2
十   pt:0    sum:2
廿   pt:0    sum:1
百   pt:0    sum:2
千   pt:0    sum:1
亿   pt:0    sum:2
首先   pt:0    sum:4
第二   pt:0    sum:5
半   pt:0    sum:6
过半   pt:0.0    sum:10
大多   pt:0    sum:8
多数   pt:0.0    sum:7
少数   pt:0    sum:1
概数   pt:0    sum:2
若干   pt:0.0    sum:39
几   pt:0    sum:1
来着   pt:0    sum:2
并且   pt:0    sum:8
正比例   pt:0.0    sum:57
反比例   pt:0.0    sum:4
数量单位   pt:0    sum:2
绺   pt:0    sum:1
各个   pt:0    sum:5
单   pt:0    sum:2
个   pt:0    sum:1
架   pt:0    sum:1
辆   pt:0    sum:2
艘   pt:0    sum:1
停泊   pt:0    sum:4
